date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2003-04-14,100.3,101.0,100.3,101.0,8.279,10400.0,0.0,1.0
2003-04-15,101.62,102.5,101.62,102.2,8.3774,46800.0,0.0,1.0
2003-04-16,103.3,103.8,103.3,103.38,8.4741,1000.0,0.0,1.0
2003-04-17,103.95,104.15,103.77,104.12,8.5348,1900.0,0.0,1.0
2003-04-21,104.24,104.25,104.0,104.08,8.5315,8100.0,0.0,1.0
2003-04-22,104.07,104.43,103.75,104.43,8.5602,2200.0,0.0,1.0
2003-04-23,104.5,104.92,104.15,104.92,8.6003,3500.0,0.0,1.0
2003-04-24,104.1,104.1,102.6,102.85,8.4307,10000.0,0.0,1.0
2003-04-25,101.41,101.41,101.0,101.15,8.2913,11400.0,0.0,1.0
2003-04-28,101.41,102.82,101.4,102.82,8.4282,10200.0,0.0,1.0
2003-04-29,104.41,105.8,104.41,105.75,8.6684,8500.0,0.0,1.0
2003-04-30,105.5,105.59,105.18,105.45,8.6438,25400.0,0.0,1.0
2003-05-01,105.15,105.57,105.0,105.04,8.6102,26100.0,0.0,1.0
2003-05-02,105.38,106.65,105.38,106.65,8.7422,7500.0,0.0,1.0
2003-05-05,107.05,107.82,107.05,107.8,8.8364,5300.0,0.0,1.0
2003-05-06,107.8,108.48,107.7,108.35,8.8815,12200.0,0.0,1.0
2003-05-07,107.9,108.17,107.81,108.15,8.8651,34800.0,0.0,1.0
2003-05-08,107.5,107.56,107.1,107.2,8.7872,46400.0,0.0,1.0
2003-05-09,107.35,108.54,107.35,108.46,8.8905,7000.0,0.0,1.0
2003-05-12,108.95,109.97,108.9,109.97,9.0143,83600.0,0.0,1.0
2003-05-13,109.58,109.58,109.05,109.35,8.9635,30700.0,0.0,1.0
2003-05-14,109.35,109.35,108.59,108.8,8.9184,22900.0,0.0,1.0
2003-05-15,109.02,109.02,108.75,109.02,8.9364,37500.0,0.0,1.0
2003-05-16,109.1,109.5,108.8,109.1,8.943,28500.0,0.0,1.0
2003-05-19,108.4,108.4,106.1,106.5,8.7299,14300.0,0.0,1.0
2003-05-20,106.75,107.16,106.45,107.03,8.7733,5900.0,0.0,1.0
2003-05-21,106.84,107.15,106.28,107.12,8.7807,5100.0,0.0,1.0
2003-05-22,107.15,108.09,107.15,108.09,8.8602,9400.0,0.0,1.0
2003-05-23,108.85,109.46,108.85,109.2,8.9512,8300.0,0.0,1.0
2003-05-27,109.46,113.18,109.46,113.11,9.2717,96000.0,0.0,1.0
2003-05-28,113.11,113.76,113.11,113.6,9.3119,44000.0,0.0,1.0
2003-05-29,113.5,113.98,113.3,113.75,9.3241,34100.0,0.0,1.0
2003-05-30,114.0,115.07,113.77,115.07,9.4323,40900.0,0.0,1.0
2003-06-02,115.4,117.2,115.4,115.9,9.5004,65300.0,0.0,1.0
2003-06-03,116.0,116.0,114.07,115.02,9.4283,27200.0,0.0,1.0
2003-06-04,115.0,116.51,115.0,116.5,9.5496,26800.0,0.0,1.0
2003-06-05,116.92,116.92,115.86,116.62,9.5594,56600.0,0.0,1.0
2003-06-06,117.25,118.9,117.24,117.71,9.6488,67600.0,0.0,1.0
2003-06-09,117.86,117.86,116.33,116.7,9.566,23200.0,0.0,1.0
2003-06-10,116.74,117.9,116.74,117.9,9.6643,25900.0,0.0,1.0
2003-06-11,117.85,118.09,117.0,118.0,9.6725,32700.0,0.0,1.0
2003-06-12,118.2,118.89,118.11,118.89,9.7455,44700.0,0.0,1.0
2003-06-13,118.61,118.95,118.52,118.85,9.7422,77200.0,0.0,1.0
2003-06-16,119.2,120.14,119.05,120.13,9.8471,18200.0,0.0,1.0
2003-06-17,121.36,122.7,121.36,122.6,10.0496,39200.0,0.0,1.0
2003-06-18,122.27,122.84,121.88,122.15,10.0127,19100.0,0.0,1.0
2003-06-19,123.15,123.35,122.0,122.15,10.0127,25100.0,0.0,1.0
2003-06-20,122.5,122.7,121.8,122.15,10.0127,33400.0,0.0,1.0
2003-06-23,121.75,121.75,119.12,119.15,9.7668,36900.0,0.0,1.0
2003-06-24,118.65,118.65,117.6,118.27,9.6947,20900.0,0.0,1.0
2003-06-25,118.57,119.98,118.57,119.25,9.775,116200.0,0.0,1.0
2003-06-26,119.82,120.6,119.61,120.54,9.8807,23400.0,0.0,1.0
2003-06-27,120.7,120.75,119.68,119.98,9.8348,41500.0,0.0,1.0
2003-06-30,120.32,120.32,119.7,119.9,9.8283,31100.0,0.0,1.0
2003-07-01,120.35,121.3,120.0,121.2,9.9348,75500.0,0.0,1.0
2003-07-02,122.55,124.14,122.55,124.05,10.1684,125500.0,0.0,1.0
2003-07-03,124.4,124.46,124.15,124.4,10.1971,12300.0,0.0,1.0
2003-07-07,125.7,127.48,125.7,127.48,10.4496,63300.0,0.0,1.0
