date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2001-08-17,126.0,126.1,125.3,126.1,26.1787,161100.0,0.0,1.0
2001-08-20,126.1,126.1,126.1,126.1,26.1787,0.0,0.0,1.0
2001-08-21,127.2,127.6,126.1,126.1,26.1787,149800.0,0.0,1.0
2001-08-22,128.9,128.9,127.6,127.6,26.4901,181300.0,0.0,1.0
2001-08-23,126.9,127.2,126.8,127.0,26.3655,143500.0,0.0,1.0
2001-08-24,128.0,128.8,128.0,128.7,26.7184,57500.0,0.0,1.0
2001-08-27,128.8,128.8,128.3,128.5,26.6769,14900.0,0.0,1.0
2001-08-28,127.6,127.8,126.8,127.0,26.3655,106600.0,0.0,1.0
2001-08-29,127.4,127.4,126.3,126.5,26.2617,42800.0,0.0,1.0
2001-08-30,125.0,125.0,124.3,124.7,25.888,12300.0,0.0,1.0
2001-08-31,124.6,125.2,124.4,125.0,25.9503,552300.0,0.0,1.0
2001-09-04,122.3,123.5,122.1,122.1,25.3483,190000.0,0.0,1.0
2001-09-05,121.7,122.1,121.0,121.4,25.2029,10500.0,0.0,1.0
2001-09-06,119.5,119.5,118.6,118.6,24.6216,94900.0,0.0,1.0
2001-09-07,118.4,118.4,117.5,117.9,24.4763,33300.0,0.0,1.0
2001-09-10,115.3,116.6,114.6,116.6,24.2064,479400.0,0.0,1.0
2001-09-17,110.3,111.9,110.1,111.5,23.1477,56800.0,0.0,1.0
2001-09-18,110.5,111.3,110.0,110.6,22.9608,330500.0,0.0,1.0
2001-09-19,111.6,111.6,108.9,110.3,22.8985,145200.0,0.0,1.0
2001-09-20,107.3,107.3,105.5,105.5,21.9021,41000.0,0.0,1.0
2001-09-21,103.5,103.5,98.0,102.5,21.2792,36700.0,0.0,1.0
2001-09-24,107.5,107.5,105.4,107.3,22.2757,46500.0,0.0,1.0
2001-09-25,107.3,107.3,107.3,107.3,22.2757,50500.0,0.0,1.0
2001-09-26,109.5,109.5,108.7,109.1,22.6494,46200.0,0.0,1.0
2001-09-27,109.2,110.8,108.9,110.8,23.0023,220800.0,0.0,1.0
2001-09-28,111.9,113.2,111.7,112.9,23.4383,221300.0,0.0,1.0
2001-10-01,111.2,112.3,111.0,112.3,23.3138,144300.0,0.0,1.0
2001-10-02,111.0,112.6,111.0,112.6,23.4105,103300.0,0.1659,1.0
2001-10-03,114.2,114.2,110.5,113.7,23.6392,132900.0,0.0,1.0
2001-10-04,115.5,115.5,113.6,114.9,23.8887,192800.0,0.0,1.0
2001-10-05,115.6,115.6,114.3,115.1,23.9302,91400.0,0.0,1.0
2001-10-08,115.3,115.3,113.6,114.4,23.7847,42600.0,0.0,1.0
2001-10-09,115.4,115.4,114.0,114.1,23.7223,814200.0,0.0,1.0
2001-10-10,115.5,116.6,115.5,116.4,24.2005,28200.0,0.0,1.0
2001-10-11,117.7,117.9,116.5,117.2,24.3669,65800.0,0.0,1.0
2001-10-12,115.8,117.1,115.8,117.1,24.3461,27800.0,0.0,1.0
2001-10-15,115.5,116.0,115.2,115.2,23.951,64200.0,0.0,1.0
2001-10-16,116.3,116.8,115.8,116.8,24.2837,120600.0,0.0,1.0
2001-10-17,119.0,119.0,116.9,116.9,24.3045,74900.0,0.0,1.0
2001-10-18,116.3,116.6,115.0,116.0,24.1174,86900.0,0.0,1.0
2001-10-19,114.4,114.9,113.8,114.8,23.8679,86000.0,0.0,1.0
2001-10-22,114.0,115.6,114.0,115.6,24.0342,131000.0,0.0,1.0
2001-10-23,116.9,117.3,116.5,116.5,24.2213,53100.0,0.0,1.0
2001-10-24,118.0,118.0,117.1,117.7,24.4708,53700.0,0.0,1.0
2001-10-25,116.3,117.7,115.8,117.5,24.4292,21300.0,0.0,1.0
2001-10-26,117.1,118.3,117.1,118.3,24.5955,56500.0,0.0,1.0
2001-10-29,118.0,118.1,115.8,115.8,24.0758,198500.0,0.0,1.0
2001-10-30,115.4,115.4,114.1,114.5,23.8055,86700.0,0.0,1.0
2001-10-31,115.9,116.3,114.7,114.8,23.8679,261000.0,0.0,1.0
2001-11-01,116.4,117.2,115.7,117.2,24.3669,270100.0,0.0,1.0
2001-11-02,117.0,117.3,116.3,117.2,24.3669,302900.0,0.0,1.0
2001-11-05,117.4,118.7,117.4,118.4,24.6163,56200.0,0.0,1.0
2001-11-06,118.5,119.9,118.1,119.6,24.8658,217100.0,0.0,1.0
2001-11-07,118.9,118.9,117.8,118.6,24.6579,117400.0,0.0,1.0
2001-11-08,119.3,120.5,119.3,119.4,24.8242,329800.0,0.0,1.0
2001-11-09,118.3,119.3,118.3,119.2,24.7827,323400.0,0.0,1.0
2001-11-12,117.5,117.8,116.8,117.6,24.45,170900.0,0.0,1.0
2001-11-13,118.3,118.8,118.2,118.7,24.6787,99600.0,0.0,1.0
2001-11-14,119.2,119.4,118.6,118.8,24.6995,50800.0,0.0,1.0
2001-11-15,118.8,119.4,118.7,119.3,24.8035,1565800.0,0.0,1.0
2001-11-16,120.0,120.3,119.5,120.0,24.949,219900.0,0.0,1.0
2001-11-19,121.2,121.4,120.4,120.6,25.0737,144300.0,0.0,1.0
2001-11-20,120.5,120.6,119.8,119.8,24.9074,119600.0,0.0,1.0
2001-11-21,119.8,119.8,119.0,119.4,24.8242,47700.0,0.0,1.0
2001-11-23,119.8,119.8,119.4,119.8,24.9074,76100.0,0.0,1.0
2001-11-26,120.9,121.2,120.4,121.0,25.1569,120100.0,0.0,1.0
2001-11-27,120.3,120.3,119.0,120.0,24.949,147900.0,0.0,1.0
2001-11-28,118.8,118.8,117.9,118.0,24.5332,178000.0,0.0,1.0
2001-11-29,118.5,118.6,117.9,118.2,24.5748,389500.0,0.0,1.0
2001-11-30,118.4,119.1,118.4,118.7,24.6787,364200.0,0.0,1.0
2001-12-03,117.9,117.9,117.1,117.7,24.4708,180500.0,0.0,1.0
2001-12-04,118.2,119.3,118.2,119.3,24.8035,462100.0,0.0,1.0
2001-12-05,120.9,122.4,120.8,122.2,25.4064,174800.0,0.0,1.0
2001-12-06,122.8,122.8,121.8,122.6,25.4896,169400.0,0.0,1.0
2001-12-07,121.4,121.4,120.5,120.7,25.0945,1833700.0,0.0,1.0
2001-12-10,118.4,119.3,118.3,118.4,24.6163,188000.0,0.0,1.0
2001-12-11,118.8,119.3,118.6,118.6,24.6579,353700.0,0.0,1.0
2001-12-12,119.5,119.5,118.3,119.1,24.7619,149300.0,0.0,1.0
2001-12-13,117.0,117.3,116.1,116.3,24.1797,242700.0,0.0,1.0
2001-12-14,117.0,117.2,116.6,117.0,24.3253,291600.0,0.0,1.0
2001-12-17,117.5,118.9,117.5,118.4,24.6163,226100.0,0.0,1.0
2001-12-18,118.9,119.2,118.4,118.7,24.6787,302800.0,0.0,1.0
2001-12-19,117.0,117.7,116.8,117.5,24.4292,257500.0,0.0,1.0
2001-12-20,117.0,117.3,116.6,116.9,24.3045,459200.0,0.0,1.0
2001-12-21,117.1,117.5,117.0,117.5,24.4292,300400.0,0.0,1.0
