date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2007-04-11,104.35,104.39,104.35,104.35,43.6749,1900.0,0.0,1.0
2007-04-12,104.42,104.42,104.35,104.42,43.7042,6100.0,0.0,1.0
2007-04-13,104.39,104.49,104.23,104.23,43.6247,3400.0,0.0,1.0
2007-04-16,104.27,104.27,104.1458,104.19,43.608,7600.0,0.0,1.0
2007-04-17,104.15,104.4,104.14,104.14,43.587,28100.0,0.0,1.0
2007-04-18,104.19,104.27,104.15,104.17,43.5996,6300.0,0.0,1.0
2007-04-19,104.2,104.57,104.06,104.53,43.7503,47500.0,0.0,1.0
2007-04-20,104.54,104.54,104.45,104.466,43.7235,4900.0,0.0,1.0
2007-04-23,104.59,104.66,104.45,104.53,43.7503,1700.0,0.0,1.0
2007-04-24,104.59,105.31,104.42,105.25,44.0516,398500.0,0.0,1.0
2007-04-25,105.28,105.41,105.28,105.41,44.1186,16300.0,0.0,1.0
2007-04-26,105.43,105.6,105.29,105.6,44.1981,48200.0,0.0,1.0
2007-04-27,105.51,105.6,105.51,105.6,44.1981,8300.0,0.0,1.0
2007-04-30,105.56,105.63,105.33,105.61,44.2023,15500.0,0.0,1.0
2007-05-01,105.27,105.43,105.27,105.33,44.2078,8600.0,0.2932,1.0
2007-05-02,105.35,105.39,105.2,105.29,44.191,4700.0,0.0,1.0
2007-05-03,105.37,105.48,105.2,105.3,44.1952,17400.0,0.0,1.0
2007-05-04,105.35,105.44,105.21,105.43,44.2498,4600.0,0.0,1.0
2007-05-07,105.32,105.42,105.3,105.42,44.2456,4200.0,0.0,1.0
2007-05-08,105.54,105.55,105.45,105.5,44.2792,16100.0,0.0,1.0
2007-05-09,105.59,105.6,105.16,105.22,44.1617,9400.0,0.0,1.0
2007-05-10,105.7,105.81,105.51,105.6,44.3211,17400.0,0.0,1.0
2007-05-11,105.64,105.78,105.56,105.66,44.3463,12200.0,0.0,1.0
2007-05-14,105.69,105.7,105.55,105.65,44.3421,11600.0,0.0,1.0
2007-05-15,105.7,105.93,105.57,105.57,44.3086,39400.0,0.0,1.0
2007-05-16,105.83,105.86,105.82,105.85,44.4261,78100.0,0.0,1.0
