date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-05-26,91.06,91.44,90.63,91.44,35.2139,37400.0,0.0,1.0
2000-05-30,92.75,94.81,92.75,94.81,36.5117,28800.0,0.0,1.0
2000-05-31,95.13,96.38,95.13,95.75,36.8737,18000.0,0.0,1.0
2000-06-01,97.11,97.31,97.11,97.31,37.4744,3500.0,0.0,1.0
2000-06-02,101.7,102.4,101.7,102.4,39.4346,14700.0,0.0,1.0
2000-06-05,102.1,103.1,101.9,102.0,39.2806,24200.0,0.0,1.0
2000-06-06,103.6,104.8,102.7,103.0,39.6657,75900.0,0.0,1.0
2000-06-07,102.4,103.1,101.4,103.1,39.7042,65500.0,0.0,1.0
2000-06-08,104.3,104.3,102.9,102.9,39.6272,45700.0,0.0,1.0
2000-06-09,103.9,104.7,103.8,104.7,40.3204,20800.0,0.0,1.0
2000-06-12,105.0,105.0,101.5,101.6,39.1265,42600.0,0.0,1.0
2000-06-13,101.3,102.9,100.4,102.9,39.6272,84100.0,0.0,1.0
2000-06-14,103.7,103.7,102.4,102.4,39.4346,21600.0,0.0,1.0
2000-06-15,101.8,102.5,100.8,102.5,39.4731,13400.0,0.0,1.0
2000-06-16,102.9,103.0,101.9,101.9,39.2421,15100.0,0.0,1.0
2000-06-19,102.5,104.5,102.0,104.5,40.2433,29600.0,0.0,1.0
2000-06-20,104.7,105.3,104.3,105.2,40.5129,23500.0,0.0,1.0
2000-06-21,104.3,105.9,104.3,105.7,40.7285,33400.0,0.0599,1.0
2000-06-22,106.0,106.0,102.5,102.5,39.4955,69800.0,0.0,1.0
2000-06-23,103.5,103.5,101.0,101.8,39.2258,117900.0,0.0,1.0
2000-06-26,102.2,103.1,101.8,103.1,39.7267,46800.0,0.0,1.0
2000-06-27,103.2,104.1,101.4,101.4,39.0716,56400.0,0.0,1.0
2000-06-28,101.9,104.4,101.9,104.0,40.0735,85300.0,0.0,1.0
2000-06-29,103.5,103.7,102.1,102.4,39.457,106100.0,0.0,1.0
2000-06-30,102.4,103.4,101.6,103.4,39.8423,585900.0,0.0,1.0
2000-07-03,103.1,104.8,103.0,104.8,40.3817,7900.0,0.0,1.0
2000-07-05,104.2,104.3,103.3,103.6,39.9193,69400.0,0.0,1.0
2000-07-06,103.7,104.8,102.7,104.8,40.3817,77300.0,0.0,1.0
2000-07-07,104.9,105.9,104.9,105.5,40.6515,35900.0,0.0,1.0
2000-07-10,105.4,106.6,105.4,106.2,40.9212,22400.0,0.0,1.0
2000-07-11,106.0,106.6,105.7,106.1,40.8827,126600.0,0.0,1.0
2000-07-12,106.6,108.2,106.5,108.2,41.6918,22600.0,0.0,1.0
2000-07-13,108.3,108.5,108.0,108.5,41.8074,51300.0,0.0,1.0
2000-07-14,109.1,109.1,107.8,108.6,41.846,27400.0,0.0,1.0
2000-07-17,108.7,109.2,108.4,109.0,42.0001,23300.0,0.0,1.0
2000-07-18,108.3,108.3,107.1,107.1,41.268,117700.0,0.0,1.0
2000-07-19,106.8,106.8,105.3,105.3,40.5744,17700.0,0.0,1.0
2000-07-20,106.3,107.0,106.3,107.0,41.2294,75200.0,0.0,1.0
2000-07-21,106.4,106.4,104.1,104.1,40.112,75300.0,0.0,1.0
2000-07-24,104.6,104.6,102.3,102.5,39.4955,18500.0,0.0,1.0
2000-07-25,103.4,103.4,102.1,102.8,39.6111,18400.0,0.0,1.0
2000-07-26,102.0,102.6,100.9,102.6,39.534,7900.0,0.0,1.0
2000-07-27,102.4,102.4,99.75,99.75,38.4359,137500.0,0.0,1.0
2000-07-28,100.3,100.3,97.75,98.0,37.7615,85800.0,0.0,1.0
2000-07-31,98.5,100.5,97.38,100.5,38.7248,83200.0,0.0,1.0
2000-08-01,99.75,100.1,99.28,99.84,38.4705,131700.0,0.0,1.0
2000-08-02,99.25,100.6,99.0,100.0,38.5322,194300.0,0.0,1.0
2000-08-03,98.06,100.1,98.06,99.94,38.5091,542100.0,0.0,1.0
2000-08-04,101.1,101.2,99.84,100.4,38.6863,285200.0,0.0,1.0
2000-08-07,100.8,102.3,100.8,102.3,39.4184,44100.0,0.0,1.0
2000-08-08,102.0,102.3,101.8,101.8,39.2258,24800.0,0.0,1.0
2000-08-09,102.6,102.6,101.1,101.1,38.956,11500.0,0.0,1.0
2000-08-10,101.1,101.2,100.2,100.5,38.7248,21500.0,0.0,1.0
2000-08-11,99.5,102.3,99.5,102.3,39.4184,88000.0,0.0,1.0
2000-08-14,101.9,103.3,101.9,103.3,39.8037,28400.0,0.0,1.0
2000-08-15,103.1,103.3,101.8,101.8,39.2258,94600.0,0.0,1.0
2000-08-16,102.3,103.1,102.3,102.4,39.457,109700.0,0.0,1.0
2000-08-17,102.7,103.7,102.4,103.3,39.8037,179400.0,0.0,1.0
2000-08-18,103.6,103.9,102.9,103.1,39.7267,26100.0,0.0,1.0
2000-08-21,103.8,103.8,102.8,103.5,39.8808,64600.0,0.0,1.0
2000-08-22,103.5,104.2,103.3,103.3,39.8037,97800.0,0.0,1.0
2000-08-23,103.2,103.5,102.8,103.2,39.7652,76500.0,0.0,1.0
2000-08-24,103.7,105.3,103.7,104.7,40.3432,138100.0,0.0,1.0
2000-08-25,104.8,105.4,104.4,105.1,40.4973,104300.0,0.0,1.0
2000-08-28,105.6,106.3,105.1,105.3,40.5744,78000.0,0.0,1.0
2000-08-29,105.6,106.3,105.3,106.3,40.9597,70100.0,0.0,1.0
2000-08-30,106.2,106.8,105.8,106.4,40.9982,309500.0,0.0,1.0
2000-08-31,106.8,108.3,106.8,107.5,41.4221,75600.0,0.0,1.0
2000-09-01,108.0,108.6,107.5,108.4,41.7689,93400.0,0.0,1.0
2000-09-05,108.2,108.6,107.6,107.6,41.4606,55200.0,0.0,1.0
2000-09-06,108.1,108.1,107.0,107.2,41.3065,108900.0,0.0,1.0
2000-09-07,107.6,108.8,107.6,108.8,41.923,106900.0,0.0,1.0
2000-09-08,108.2,108.4,106.9,106.9,41.1909,64300.0,0.0,1.0
2000-09-11,107.4,107.8,106.6,107.0,41.2294,157300.0,0.0,1.0
2000-09-12,107.6,107.6,106.5,106.7,41.1138,46500.0,0.0,1.0
2000-09-13,106.2,107.4,106.2,107.2,41.3065,40600.0,0.0,1.0
2000-09-14,107.7,108.2,107.2,107.8,41.5377,57000.0,0.0,1.0
2000-09-15,107.3,107.4,105.6,105.8,40.7671,33500.0,0.0,1.0
2000-09-18,106.3,106.3,103.0,103.3,39.8037,100700.0,0.0,1.0
2000-09-19,104.0,105.4,103.3,105.0,40.4588,27400.0,0.0,1.0
2000-09-20,104.6,104.6,103.3,103.8,40.1335,20200.0,0.3558,1.0
2000-09-21,104.0,104.0,101.9,101.9,39.3989,103700.0,0.0,1.0
2000-09-22,100.0,103.2,100.0,103.2,39.9015,63800.0,0.0,1.0
2000-09-25,104.4,104.4,103.3,103.3,39.9402,56900.0,0.0,1.0
2000-09-26,103.3,103.3,101.3,101.8,39.3602,32600.0,0.0,1.0
2000-09-27,102.3,102.8,101.0,101.4,39.2056,21800.0,0.0,1.0
2000-09-28,101.6,104.3,101.6,104.1,40.2495,60500.0,0.0,1.0
2000-09-29,104.0,104.4,103.6,103.6,40.0562,65200.0,0.0,1.0
2000-10-02,104.4,104.4,101.9,101.9,39.3989,84800.0,0.0,1.0
2000-10-03,103.2,103.2,100.5,100.5,38.8576,75500.0,0.0,1.0
2000-10-04,100.9,101.2,99.63,101.2,39.1282,49900.0,0.0,1.0
2000-10-05,101.3,101.6,100.1,100.1,38.7029,204400.0,0.0,1.0
2000-10-06,100.3,100.3,97.56,97.69,37.7711,92800.0,0.0,1.0
2000-10-09,97.75,97.75,96.63,97.47,37.6861,180900.0,0.0,1.0
2000-10-10,97.59,98.11,95.13,95.13,36.7813,210200.0,0.0,1.0
2000-10-11,95.44,95.63,94.0,94.81,36.6576,84100.0,0.0,1.0
2000-10-12,95.69,95.69,91.94,91.94,35.5479,80700.0,0.0,1.0
2000-10-13,92.19,96.28,92.13,95.5,36.9244,189400.0,0.0,1.0
2000-10-16,96.0,97.06,95.44,96.25,37.2144,549000.0,0.0,1.0
2000-10-17,96.25,96.52,93.14,93.83,36.2787,132900.0,0.0,1.0
2000-10-18,91.64,93.63,91.25,93.06,35.981,171800.0,0.0,1.0
2000-10-19,94.56,96.19,94.56,95.94,37.0945,75300.0,0.0,1.0
2000-10-20,96.69,98.06,96.64,97.16,37.5662,132400.0,0.0,1.0
2000-10-23,97.69,98.25,97.33,98.13,37.9412,71600.0,0.0,1.0
2000-10-24,98.44,99.06,96.69,96.69,37.3845,36900.0,0.0,1.0
2000-10-25,96.5,97.0,94.53,94.53,36.5493,16500.0,0.0,1.0
2000-10-26,95.42,96.0,93.69,96.0,37.1177,52900.0,0.0,1.0
