date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-05-11,82.75,85.25,80.88,84.63,74.1118,24709700.0,0.0,1.0
2000-05-12,85.38,87.56,84.0,84.63,74.1118,17832000.0,0.0,1.0
2000-05-15,84.81,88.63,82.63,88.31,77.3344,17950800.0,0.0,1.0
2000-05-16,90.0,91.5,88.06,90.81,79.5237,23758800.0,0.0,1.0
2000-05-17,89.25,90.5,87.75,88.94,77.8861,20339400.0,0.0,1.0
2000-05-18,89.0,89.36,85.38,85.75,75.0926,19063000.0,0.0,1.0
2000-05-19,83.75,85.0,81.31,81.69,71.5372,28178100.0,0.0,1.0
2000-05-22,81.63,82.25,75.58,81.63,71.4846,43879800.0,0.0,1.0
2000-05-23,81.38,82.63,74.25,74.81,65.5123,31898500.0,0.0,1.0
2000-05-24,75.0,79.88,72.25,79.5,69.6194,49476000.0,0.0,1.0
2000-05-25,80.25,82.25,76.5,77.75,68.0869,29632700.0,0.0,1.0
2000-05-26,77.75,79.25,75.75,77.75,68.0869,18203200.0,0.0,1.0
2000-05-30,80.0,85.94,80.0,85.56,74.9262,31590400.0,0.0,1.0
2000-05-31,84.47,86.67,83.38,83.5,73.1222,29675400.0,0.0,1.0
2000-06-01,85.19,88.38,84.0,87.38,76.52,28993500.0,0.0,1.0
2000-06-02,92.63,93.94,82.5,93.63,81.9932,31677200.0,0.0,1.0
2000-06-05,92.25,95.31,91.88,93.86,82.1946,23784300.0,0.0,1.0
2000-06-06,93.19,95.0,90.88,91.25,79.909,23200500.0,0.0,1.0
2000-06-07,91.56,94.0,89.56,93.69,82.0458,22524400.0,0.0,1.0
2000-06-08,94.63,94.88,91.63,93.25,81.6604,19313800.0,0.0,1.0
2000-06-09,94.75,94.75,93.0,93.75,82.0983,17014600.0,0.0,1.0
2000-06-12,94.31,94.31,90.0,90.75,79.4712,16484700.0,0.0,1.0
2000-06-13,90.5,94.63,89.36,94.25,82.5362,25187900.0,0.0,1.0
2000-06-14,94.88,94.88,91.5,92.13,80.6796,20274500.0,0.0,1.0
2000-06-15,91.88,93.88,90.88,93.75,82.0983,18807800.0,0.0,1.0
2000-06-16,94.75,95.31,93.06,94.25,82.5362,21203400.0,0.0,1.0
2000-06-19,94.02,98.25,92.69,98.0,85.8201,20042500.0,0.0,1.0
2000-06-20,98.25,99.69,97.19,97.63,85.4961,20988300.0,0.0,1.0
2000-06-21,96.81,99.72,96.69,98.88,86.5907,20880600.0,0.0,1.0
2000-06-22,98.63,99.0,94.5,95.25,83.4119,21526700.0,0.0,1.0
2000-06-23,95.0,95.5,91.38,91.5,80.1279,24888100.0,0.0,1.0
2000-06-26,93.06,94.42,92.0,94.0,82.3172,22169200.0,0.0,1.0
2000-06-27,93.77,95.06,92.38,92.88,81.3364,14786000.0,0.0,1.0
2000-06-28,92.98,95.5,92.5,94.0,82.3172,19259800.0,0.0,1.0
2000-06-29,92.94,93.38,90.63,91.64,80.2505,21355800.0,0.0,1.0
2000-06-30,91.81,93.95,91.31,93.44,81.8268,15153100.0,0.0,1.0
2000-07-03,93.5,95.25,93.25,95.25,83.4119,5212000.0,0.0,1.0
2000-07-05,93.63,93.97,90.88,91.56,80.1805,16489000.0,0.0,1.0
2000-07-06,91.56,94.75,90.06,94.0,82.3172,23594700.0,0.0,1.0
2000-07-07,95.0,97.0,94.44,95.94,84.0161,16603200.0,0.0,1.0
2000-07-10,94.69,95.88,94.0,94.48,82.7376,12659400.0,0.0,1.0
2000-07-11,94.06,95.75,92.81,95.0,83.1929,14374600.0,0.0,1.0
2000-07-12,95.44,97.75,94.63,97.25,85.1633,18252600.0,0.0,1.0
2000-07-13,97.94,99.75,97.13,98.5,86.2579,19566700.0,0.0,1.0
2000-07-14,100.3,101.1,98.81,100.6,88.0969,17219400.0,0.0,1.0
2000-07-17,100.9,102.1,99.88,101.8,89.1478,13140500.0,0.0,1.0
2000-07-18,100.4,100.8,98.36,99.5,87.1337,20684000.0,0.0,1.0
2000-07-19,98.31,98.94,95.66,97.25,85.1633,21828500.0,0.0,1.0
2000-07-20,97.88,100.5,97.27,100.4,87.9218,19521200.0,0.0,1.0
2000-07-21,98.44,99.52,97.0,97.0,84.9444,14411400.0,0.0,1.0
2000-07-24,97.94,99.0,94.25,95.0,83.1929,18579200.0,0.0,1.0
2000-07-25,95.63,97.0,93.81,95.75,83.8497,19065700.0,0.0,1.0
2000-07-26,95.5,96.13,93.25,95.63,83.7446,20318700.0,0.0,1.0
2000-07-27,93.94,95.06,91.56,91.88,80.4607,26141800.0,0.0,1.0
2000-07-28,92.19,92.88,86.0,86.88,76.0821,36485600.0,0.0,1.0
2000-07-31,87.63,90.13,85.72,89.44,78.324,27609900.0,0.0,1.0
2000-08-01,89.81,89.98,87.69,88.25,77.2819,15751800.0,0.0,1.0
